,0,1,2,3,4,5,6,7,8
0,0,4,0,5,0,5,0,5,-1
1,0,6,0,6,0,4,0,7,0
2,0.33,6,0,7,0.17,6,0.38,8,8.89
3,8.17,12,0,6,0,7,9.14,14,4.12
4,1,8,0,5,0,6,12,14,3.27
5,0.29,7,0,7,0.14,7,0.78,9,11.15
6,9.38,13,0,7,0,6,12.33,15,5.62
7,3.92,12,0,5,0,7,15.47,15,3.69
8,0,7,0,7,0,7,0.9,10,9.03
9,8.15,13,0,6,0,6,13.75,16,4.92
10,4.82,11,0,5,0,6,19.94,17,6
11,0.25,8,0.38,8,0.14,7,2.08,12,20.08
12,9.69,13,0,6,0,6,16.72,18,6.49
13,5.33,9,0,4,0,6,24,20,1.78
14,0,6,0.43,7,0.12,8,6.21,14,7.67
15,7.58,12,0,6,0,6,21.15,20,3.03
16,1.33,9,0,4,0,6,29.33,21,2.06
17,0.14,7,0.25,8,0,7,9.47,15,10.89
18,8,13,0,7,0,6,24,20,2.61
19,1.4,10,0,5,0,6,31.48,21,1.07
20,0,6,0,7,0,7,11.88,16,6.47
21,7.42,12,0,7,0,6,26.48,21,6.38
22,7.64,11,0,6,0,7,32.39,23,8
23,0.14,7,0.38,8,0.38,8,12.29,17,19.69
24,8.46,13,0,6,0,7,25.65,23,8.12
25,2.56,9,0,4,0,7,32,23,12.33
26,0,7,0.14,7,0.38,8,15.67,18,24.07
27,8.46,13,0,6,0,7,29.65,23,12.31
28,4.36,11,0,5,0,6,34.25,24,17.05
29,0.29,7,0.25,8,0,7,17.79,19,25.03
30,8.31,13,0,6,0,6,30.79,24,15.46
31,4.17,12,0,3,0,8,35.81,27,20.61
32,0.29,7,0.14,7,0,7,20.15,20,29.55
33,8.79,14,0,6,0,7,32,26,17.91
34,4.55,11,0,6,0,7,38.92,26,33.23
35,0,6,0,7,0.38,8,25.68,22,37.64
36,6.08,12,0,7,0,6,37.14,28,38.51
37,4.55,11,0,3,0,7,44.75,28,73.18
38,10.92,12,0,7,0.14,7,31,24,75.84
39,22.56,18,0,6,0,6,41.07,30,74.84
40,30.32,19,0,5,0,7,49.56,32,108.84
41,37.71,21,0,7,0,7,33.69,26,117.86
42,49.41,27,0,6,0,7,41.47,32,91.56
43,57.73,30,0,4,0,7,50.68,34,148.74
44,63.46,28,0.29,7,0.12,8,38.97,29,121.33
45,74.88,34,0,7,0,6,49.38,34,99.08
46,89.08,37,0,5,0,6,57.46,35,169.95
47,108.75,32,0.29,7,0,7,44.66,29,140.37
48,114.08,38,0,6,0,6,50.8,35,122.37
49,127.05,41,0,5,0,6,60.56,36,212.27
50,145.64,36,0.29,7,0.38,8,46.87,30,167.02
51,150,41,0,6,0,7,55.46,35,145.41
52,162.57,44,0,4,0,7,61.81,36,246.39
53,170.95,38,0.14,7,0.25,8,51.93,30,187.56
54,170.23,44,0,7,0,6,58.22,36,154.08
55,159.6,47,0,5,0,6,64.94,36,279.79
56,160.73,48,0.29,7,0,7,53.97,30,240.55
57,167.02,54,0,6,0,6,60.08,36,147.27
58,179.23,57,0,5,0,6,64.95,37,241.71
59,188.36,56,0,7,0.38,8,54.23,31,182.05
60,195.35,62,0,7,0,7,62.11,36,159.9
61,205.95,63,0,3,0,6,69.11,38,188.35
62,228.96,56,0.14,7,0.14,7,56.79,33,159.43
63,228.48,63,3.4,10,0,6,65.84,38,116.37
64,245.29,63,17.43,14,0,8,75.1,39,150.49
65,228.34,61,12.73,15,0.14,7,59.59,34,136.02
66,236.21,66,1,10,0,7,70.27,37,97.98
67,231.22,67,0,4,0,7,77.87,38,122.03
68,222.62,69,0,7,0.14,7,62,32,110.94
69,233.58,74,0,6,0,6,71.31,36,93.83
70,244.19,80,0,5,0,6,76.47,38,134.59
71,257.33,79,0,7,0,7,57.45,33,130.39
72,279.18,80,0,7,0,6,67,37,91.93
73,285.54,84,0,5,0,6,70.74,38,137.93
74,309.83,84,0.38,8,0.12,8,58.75,32,143.88
75,339.83,84,9.86,14,0,7,66.16,37,148.94
76,369.83,84,24.53,19,0,6,72.28,39,209.89
77,399.83,84,39.2,25,0,7,59,32,229.19
78,429.83,84,54.35,31,0,6,69.08,36,210.79
79,453.43,82,66.88,34,0,6,72.78,37,231.04
80,434.67,82,61.12,34,0.14,7,58.53,32,174.84
81,446.4,85,37.89,28,0,6,66.57,37,68.94
82,454.73,81,23.7,23,0,7,72.74,39,93.14
83,432.05,79,6.8,15,0,7,60.79,33,85.2
84,439.05,82,0.4,10,0,7,69.16,38,63.96
85,438.69,84,0,5,0,6,76.85,39,90.9
86,468.32,84,0,5,0.29,7,61.24,33,110.08
87,498.23,84,0,6,0,6,72.58,36,87.7
88,521.3,83,1.17,6,0,6,75.85,39,137.65
89,551.3,83,10.33,12,0.25,8,61.22,32,155.35
90,581.3,83,21.94,18,0,7,68.84,37,127.53
91,604.02,84,38.95,22,0,7,75.82,38,224.81
92,641.3,83,49.7,27,0.38,8,58.59,32,221.45
93,671.3,83,31.32,22,0,7,66.35,37,134.61
94,691.76,79,13.32,19,0,7,74.16,38,174
95,681.2,81,8.59,17,0.14,7,63.51,35,160.7
96,686.11,84,13.94,18,0,6,73.15,40,130.32
97,713.41,82,13.5,16,0,6,79.83,40,184.71
98,707.86,78,4.8,15,0,7,69.44,34,149.58
99,700.46,82,0.5,10,0,7,82.08,36,117.75
